iso3,country,subregion
ARG,Argentina,South America
BOL,Bolivia,South America
BRA,Brazil,South America
CHL,Chile,South America
COL,Colombia,South America
CRI,Costa Rica,Central America
CUB,Cuba,Caribbean
DOM,Dominican Republic,Caribbean
ECU,Ecuador,South America
SLV,El Salvador,Central America
GTM,Guatemala,Central America
HTI,Haiti,Caribbean
HND,Honduras,Central America
MEX,Mexico,North America
NIC,Nicaragua,Central America
PAN,Panama,Central America
PRY,Paraguay,South America
PER,Peru,South America
URY,Uruguay,South America
VEN,Venezuela,South America
