"layer","official_universe","records_in_release","status","benchmark_source","note"
"Ministerios","25","25","complete","Gob.cl","Cobertura íntegra del directorio ministerial vigente."
"Servicios públicos / reparticiones del directorio Gob.cl","162","162","complete_as_published","Gob.cl","Transcripción íntegra; se mantiene además una capa suplementaria para cambios no reflejados o nomenclaturas heredadas."
"Municipalidades","345","345","complete_with_provenance_note","SUBDERE/SINIM + chile-hub structured seed","Universo oficial 345; nombres y CUT sembrados desde catálogo normalizado abierto. Antártica no tiene municipalidad propia."
"Gobiernos Regionales","16","16","complete","Ley 19.175 / estructura territorial","Una fila por región."
"Delegaciones Presidenciales Regionales","16","16","complete","Servicio de Gobierno Interior","Una por región."
"Delegaciones Presidenciales Provinciales","40","40","complete","Servicio de Gobierno Interior","No existe DPP separada en la provincia asiento de la capital regional."
"Subsecretarías","","40","structured_v0_1","Gob.cl ministerial pages / marco orgánico","Capa estructural; requiere control periódico ante reformas ministeriales."
"Órganos superiores legislativos, judiciales y autónomos","","12","core_top_level","BCN / sitios institucionales","Incluye órganos superiores. La expansión a tribunales especiales, cortes y órganos internos se mantiene separada para evitar confundir institución con establecimiento."
"Suplementos institucionales 2026","","4","current_verified_supplement","Sitios institucionales oficiales","ANCI, SERMIG, SBAP y CMF se agregan para controlar desfases del directorio general."
"Comisiones legislativas Cámara - página operativa","34","34","complete_current_listing","Cámara de Diputadas y Diputados","Se usa la página operativa vigente, que lista 34 entradas; la FAQ aún menciona 27."
"Comisiones legislativas permanentes Senado","24","24","complete","Senado de Chile","Excluye tres comisiones internas y la Comisión Especial Mixta de Presupuestos del subconjunto legislativo permanente."
"Universidades estatales","18","18","complete","CUECH / Mineduc","Sistema completo de universidades del Estado."
"Centros de Formación Técnica Estatales","15","15","complete","Subsecretaría de Educación Superior","Red completa creada por Ley N°20.910."
"Empresas públicas - directorio DIPRES","28","28","complete_as_published","DIPRES Empresas Públicas","Universo operativo según el directorio vigente de antecedentes de Empresas Públicas de DIPRES."
