"directory_order","institution_id","institution_name","source_id","source_url","last_verified","status_note"
"1","CL-SP-001","Servicio Nacional de Reinserción Social Juvenil","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"2","CL-SP-002","Carabineros de Chile","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"3","CL-SP-003","Dirección de Aeropuertos","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"4","CL-SP-004","Dirección de Arquitectura","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"5","CL-SP-005","Dirección General de Obras Públicas","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"6","CL-SP-006","Agencia de Promoción de la Inversión Extranjera","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"7","CL-SP-007","Gendarmería de Chile","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"8","CL-SP-008","Servicio Nacional de Protección especializada a la Niñez y Adolescencia - Mejor Niñez","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"9","CL-SP-009","Dirección de Previsión de Carabineros de Chile (DIPRECA)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"10","CL-SP-010","Agencia Nacional de Inteligencia (ANI)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"11","CL-SP-011","Servicio de Gobierno Interior","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"12","CL-SP-012","Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"13","CL-SP-013","Policía de Investigaciones","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"14","CL-SP-014","Dirección General de Relaciones Económicas Internacionales (DIRECON)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"15","CL-SP-015","Agencia de Cooperación Internacional (AGCI)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"16","CL-SP-016","Instituto Antártico Chileno (INACH)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"17","CL-SP-017","Dirección Nacional de Fronteras y Límites del Estado (DIFROL)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"18","CL-SP-018","Instituto Geográfico Militar (IGM)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"19","CL-SP-019","Dirección General de Aeronáutica Civil (DGAC)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"20","CL-SP-020","Dirección General de Movilización Nacional (DGMN)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"21","CL-SP-021","Fuerza Aérea de Chile (FACH)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"22","CL-SP-022","Ejército de Chile","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"23","CL-SP-023","Defensa Civil de Chile","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"24","CL-SP-024","Estado Mayor Conjunto","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"25","CL-SP-025","Servicio Aerofotogramétrico FACH","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"26","CL-SP-026","Dirección General del Territorio Marítimo y Marina Mercante (DIRECTEMAR)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"27","CL-SP-027","Armada de Chile","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"28","CL-SP-028","Servicio Hidrográfico y Oceanográfico de la Armada","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"29","CL-SP-029","Tesorería General de la República","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"30","CL-SP-030","Dirección Nacional del Servicio Civil","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"31","CL-SP-031","Servicio Nacional de Aduanas","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"32","CL-SP-032","Superintendencia de Casinos de Juego (SCJ)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"33","CL-SP-033","Servicio de Impuestos Internos (SII)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"34","CL-SP-034","Dirección de Compras y Contratación Pública (Chilecompra)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"35","CL-SP-035","Dirección de Presupuestos (DIPRES)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"36","CL-SP-036","Unidad de Análisis Financiero (UAF)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"37","CL-SP-037","Superintendencia de Bancos e Instituciones Financieras (SBIF)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"38","CL-SP-038","Corporación de Fomento para la Producción (CORFO)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"39","CL-SP-039","Fiscalía Nacional Económica (FNE)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"40","CL-SP-040","Servicio Nacional del Consumidor (SERNAC)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"41","CL-SP-041","Instituto Nacional de Propiedad Industrial (INAPI)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"42","CL-SP-042","Servicio Nacional de Turismo (SERNATUR)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"43","CL-SP-043","Superintendencia de Insolvencia y Reemprendimiento (SIR)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"44","CL-SP-044","Instituto Nacional de Estadísticas (INE)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"45","CL-SP-045","Servicio Nacional de Pesca (SERNAPESCA)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"46","CL-SP-046","Instituto Nacional de la Juventud (INJUV)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"47","CL-SP-047","Corporación Nacional de Desarrollo Indígena (CONADI)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"48","CL-SP-048","Fondo de Solidaridad e Inversión Social (FOSIS)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"49","CL-SP-049","Servicio Nacional de la Discapacidad (SENADIS)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"50","CL-SP-050","Servicio Nacional del Adulto Mayor (SENAMA)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"51","CL-SP-051","Junta Nacional de Jardines Infantiles (JUNJI)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"52","CL-SP-052","Junta Nacional de Auxilio Escolar y Becas (JUNAEB)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"53","CL-SP-053","Consejo Superior de Educación","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"54","CL-SP-054","Comisión Administradora del Sistema de Créditos para Estudios Superiores","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"55","CL-SP-055","Consejo de Calificación Cinematográfica","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"56","CL-SP-056","Superintendencia de Educación","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"57","CL-SP-057","Consejo de Rectores de las Universidades Chilenas","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
"58","CL-SP-058","Comisión Nacional de Acreditación (CNA)","SRC-GOB","https://www.gob.cl/instituciones/","2026-09-19","Transcripción literal del directorio oficial; revisar normalización frente a cambios institucionales."
