"institution_id","institution_name","acronym","state_branch","institution_type","parent_institution_id","territorial_level","region_code","region_name","commune_code","commune_name","policy_area_primary","legal_status","source_id","verification_status","last_verified","notes"
"CL-PRES","Presidencia de la República de Chile","","Poder Ejecutivo","Presidencia","","Nacional","","","","Gobierno y dirección del Ejecutivo","Constitucional","SRC-GOB","","","",""
"CL-CONG","Congreso Nacional de Chile","","Poder Legislativo","Congreso","","Nacional","","","","Legislación","Constitucional","SRC-BCN","","","",""
"CL-SEN","Senado de la República","","Poder Legislativo","Cámara legislativa","CL-CONG","Nacional","","","","Legislación y fiscalización","Constitucional","SRC-SENADO","","","",""
"CL-CAM","Cámara de Diputadas y Diputados","","Poder Legislativo","Cámara legislativa","CL-CONG","Nacional","","","","Legislación y fiscalización","Constitucional","SRC-CAMARA","","","",""
"CL-PJUD","Poder Judicial de Chile","","Poder Judicial","Poder del Estado","","Nacional","","","","Administración de justicia","Constitucional","SRC-PJUD","","","",""
"CL-CSUP","Corte Suprema de Chile","","Poder Judicial","Tribunal superior","CL-PJUD","Nacional","","","","Jurisdicción","Constitucional","SRC-PJUD","","","",""
"CL-CGR","Contraloría General de la República","CGR","Órgano autónomo","Órgano de control","","Nacional","","","","Control de legalidad y fiscalización","Constitucional autónomo","SRC-BCN","","","",""
"CL-BCCH","Banco Central de Chile","BCCh","Órgano autónomo","Banco central","","Nacional","","","","Política monetaria y estabilidad financiera","Constitucional autónomo","SRC-BCN","","","",""
"CL-SERVEL","Servicio Electoral de Chile","SERVEL","Órgano autónomo","Órgano electoral","","Nacional","","","","Administración electoral","Constitucional autónomo","SRC-BCN","","","",""
"CL-MP","Ministerio Público de Chile","","Órgano autónomo","Ministerio Público","","Nacional","","","","Persecución penal","Constitucional autónomo","SRC-BCN","","","",""
"CL-TC","Tribunal Constitucional de Chile","TC","Órgano autónomo","Tribunal constitucional","","Nacional","","","","Control de constitucionalidad","Constitucional autónomo","SRC-BCN","","","",""
"CL-TRICEL","Tribunal Calificador de Elecciones","TRICEL","Órgano autónomo","Tribunal electoral","","Nacional","","","","Justicia electoral","Constitucional autónomo","SRC-BCN","","","",""
"CL-MIN-SEG","Ministerio de Seguridad Pública","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Seguridad pública","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-HAC","Ministerio de Hacienda","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Hacienda y finanzas públicas","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-DEF","Ministerio de Defensa Nacional","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Defensa","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MTT","Ministerio de Transportes y Telecomunicaciones","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Transportes y telecomunicaciones","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-INT","Ministerio del Interior","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Gobierno interior y administración territorial","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-SAL","Ministerio de Salud","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Salud","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-AGR","Ministerio de Agricultura","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Agricultura y desarrollo rural","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-DEP","Ministerio del Deporte","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Deporte","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-SEGEGOB","Ministerio Secretaría General de Gobierno","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Comunicación de gobierno y participación","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MOP","Ministerio de Obras Públicas","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Infraestructura y recursos hídricos","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MMEG","Ministerio de la Mujer y la Equidad de Género","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Mujer y equidad de género","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-CTCI","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Ciencia, tecnología e innovación","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MINVU","Ministerio de Vivienda y Urbanismo","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Vivienda y desarrollo urbano","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MINTRAB","Ministerio del Trabajo y Previsión Social","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Trabajo y previsión social","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MMA","Ministerio del Medio Ambiente","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Medio ambiente","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-ENER","Ministerio de Energía","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Energía","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MDSF","Ministerio de Desarrollo Social y Familia","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Desarrollo social y familia","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-SEGPRES","Ministerio Secretaría General de la Presidencia","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Coordinación gubernamental y agenda legislativa","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-JUST","Ministerio de Justicia y Derechos Humanos","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Justicia y derechos humanos","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-RREE","Ministerio de Relaciones Exteriores","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Relaciones exteriores","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-CULT","Ministerio de las Culturas, las Artes y el Patrimonio","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Culturas, artes y patrimonio","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-BBNN","Ministerio de Bienes Nacionales","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Bienes nacionales","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-ECO","Ministerio de Economía, Fomento y Turismo","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Economía, fomento y turismo","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-EDU","Ministerio de Educación","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Educación","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-MIN-MINERIA","Ministerio de Minería","","Poder Ejecutivo","Ministerio","CL-PRES","Nacional","","","","","Minería","Ministerio","SRC-GOB","official_directory_complete","2026-09-19",""
"CL-SUB-SEG","Subsecretaría de Seguridad Pública","","Poder Ejecutivo","Subsecretaría","CL-MIN-SEG","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SPD","Subsecretaría de Prevención del Delito","","Poder Ejecutivo","Subsecretaría","CL-MIN-SEG","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
