"chamber","commission_number","institution_id","commission_name","commission_class","parent_institution_id","source_url","last_verified","note"
"Cámara de Diputadas y Diputados","1","CL-CAM-COM-01","Comisión de Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","2","CL-CAM-COM-02","Comisión de Relaciones Exteriores, Asuntos Interparlamentarios e Integración Latinoamericana","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","3","CL-CAM-COM-03","Comisión de Constitución, Legislación, Justicia y Reglamento","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","4","CL-CAM-COM-04","Comisión de Educación","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","5","CL-CAM-COM-05","Comisión de Hacienda","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","6","CL-CAM-COM-06","Comisión de Defensa Nacional","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","7","CL-CAM-COM-07","Comisión de Obras Públicas, Transportes y Telecomunicaciones","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","8","CL-CAM-COM-08","Comisión de Agricultura, Silvicultura y Desarrollo Rural","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","9","CL-CAM-COM-09","Comisión de Medio Ambiente y Recursos Naturales","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","10","CL-CAM-COM-10","Comisión de Salud","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","11","CL-CAM-COM-11","Comisión de Trabajo y Seguridad Social","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","12","CL-CAM-COM-12","Comisión de Minería y Energía","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
