"institution_id","institution_name","policy_area_primary","source_url","last_verified"
"CL-MIN-SEG","Ministerio de Seguridad Pública","Seguridad pública","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-HAC","Ministerio de Hacienda","Hacienda y finanzas públicas","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-DEF","Ministerio de Defensa Nacional","Defensa","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MTT","Ministerio de Transportes y Telecomunicaciones","Transportes y telecomunicaciones","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-INT","Ministerio del Interior","Gobierno interior y administración territorial","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-SAL","Ministerio de Salud","Salud","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-AGR","Ministerio de Agricultura","Agricultura y desarrollo rural","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-DEP","Ministerio del Deporte","Deporte","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-SEGEGOB","Ministerio Secretaría General de Gobierno","Comunicación de gobierno y participación","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MOP","Ministerio de Obras Públicas","Infraestructura y recursos hídricos","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MMEG","Ministerio de la Mujer y la Equidad de Género","Mujer y equidad de género","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-CTCI","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación","Ciencia, tecnología e innovación","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MINVU","Ministerio de Vivienda y Urbanismo","Vivienda y desarrollo urbano","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MINTRAB","Ministerio del Trabajo y Previsión Social","Trabajo y previsión social","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MMA","Ministerio del Medio Ambiente","Medio ambiente","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-ENER","Ministerio de Energía","Energía","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MDSF","Ministerio de Desarrollo Social y Familia","Desarrollo social y familia","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-SEGPRES","Ministerio Secretaría General de la Presidencia","Coordinación gubernamental y agenda legislativa","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-JUST","Ministerio de Justicia y Derechos Humanos","Justicia y derechos humanos","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-RREE","Ministerio de Relaciones Exteriores","Relaciones exteriores","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-CULT","Ministerio de las Culturas, las Artes y el Patrimonio","Culturas, artes y patrimonio","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-BBNN","Ministerio de Bienes Nacionales","Bienes nacionales","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-ECO","Ministerio de Economía, Fomento y Turismo","Economía, fomento y turismo","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-EDU","Ministerio de Educación","Educación","https://www.gob.cl/instituciones/","2026-09-19"
"CL-MIN-MINERIA","Ministerio de Minería","Minería","https://www.gob.cl/instituciones/","2026-09-19"
