"institution_id","institution_name","acronym","source_directory","source_url","last_verified","note"
"CL-EEPP-01","Astilleros y Maestranzas de la Armada","ASMAR","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-02","Banco del Estado de Chile","BancoEstado","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-03","Casa de Moneda de Chile S.A.","Casa Moneda","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-04","Corporación Nacional del Cobre de Chile","CODELCO","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-05","Empresa de Correos de Chile","CorreosChile","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-06","Comercializadora de Trigo S.A.","COTRISA","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-07","Empresa Concesionaria de Servicios Sanitarios S.A.","ECONSSA","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-08","Empresa de los Ferrocarriles del Estado","EFE","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-09","Empresa Portuaria Antofagasta","EPA","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-10","Empresa Portuaria Arica","EPA Arica","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-11","Empresa Portuaria Austral","EPAustral","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-12","Empresa Portuaria Chacabuco","EMPORCHA","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-13","Empresa Portuaria Coquimbo","EPCO","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-14","Empresa Portuaria Iquique","EPI","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
"CL-EEPP-15","Empresa Portuaria Puerto Montt","EMPORMONTT","DIPRES Empresas Públicas - Antecedentes de Empresas Públicas","https://www.dipres.gob.cl/599/w3-channel.html","2026-09-19","Directorio vigente utilizado como universo operativo; no se infieren empresas no listadas."
