"institution_id","institution_name","short_name","region_code","region_name","legal_parent_relation","source_url","last_verified","note"
"CL-SLEP-01","Servicio Local de Educación Pública Chinchorro","SLEP Chinchorro","15","Región de Arica y Parinacota","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-02","Servicio Local de Educación Pública Iquique","SLEP Iquique","01","Región de Tarapacá","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-03","Servicio Local de Educación Pública Tamarugal","SLEP Tamarugal","01","Región de Tarapacá","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-04","Servicio Local de Educación Pública Antofagasta","SLEP Antofagasta","02","Región de Antofagasta","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-05","Servicio Local de Educación Pública Licancabur","SLEP Licancabur","02","Región de Antofagasta","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-06","Servicio Local de Educación Pública Atacama","SLEP Atacama","03","Región de Atacama","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-07","Servicio Local de Educación Pública Huasco","SLEP Huasco","03","Región de Atacama","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-08","Servicio Local de Educación Pública Elqui","SLEP Elqui","04","Región de Coquimbo","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-09","Servicio Local de Educación Pública Puerto Cordillera","SLEP Puerto Cordillera","04","Región de Coquimbo","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
"CL-SLEP-10","Servicio Local de Educación Pública Limarí","SLEP Limarí","04","Región de Coquimbo","Se relaciona con el Ministerio de Educación a través de la Dirección de Educación Pública","https://www.bcn.cl/leychile/navegar?idNorma=1111237","2026-09-19","Universo legal de 70 SLEP; denominación contrastada con publicación DEP sobre calendario de instalación."
