"institution_id","institution_name","region_code","region_name","main_location","source_url","last_verified"
"CL-CFT-15","CFT Estatal de Arica y Parinacota","15","Región de Arica y Parinacota","Arica","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-01","CFT Estatal de Tarapacá","01","Región de Tarapacá","Alto Hospicio","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-02","CFT Estatal de Antofagasta","02","Región de Antofagasta","Calama","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-03","CFT Estatal de Atacama","03","Región de Atacama","Chañaral","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-04","CFT Estatal de Coquimbo","04","Región de Coquimbo","Ovalle","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-05","CFT Estatal de Valparaíso","05","Región de Valparaíso","San Antonio","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-13","CFT Estatal de Metropolitana","13","Región Metropolitana de Santiago","Peñalolén","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-06","CFT Estatal de O´Higgins","06","Región del Libertador General Bernardo O'Higgins","San Vicente de Tagua Tagua","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-07","CFT Estatal del Maule","07","Región del Maule","Linares","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-08","CFT Estatal del Bío Bío","08","Región del Biobío","Tirúa","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-09","CFT Estatal de La Araucanía","09","Región de La Araucanía","Lautaro","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-14","CFT Estatal de Los Ríos","14","Región de Los Ríos","La Unión","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-10","CFT Estatal de Los Lagos","10","Región de Los Lagos","Llanquihue","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-11","CFT Estatal de Aysén","11","Región de Aysén del General Carlos Ibáñez del Campo","Puerto Aysén","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
"CL-CFT-12","CFT Estatal de Magallanes","12","Región de Magallanes y de la Antártica Chilena","Porvenir","https://educacionsuperior.mineduc.cl/cft-estatales/","2026-09-19"
