"institution_id","institution_name","acronym","region_code","region_name","source_url","last_verified"
"CL-UNI-UTA","Universidad de Tarapacá","UTA","15","Región de Arica y Parinacota","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UNAP","Universidad Arturo Prat","UNAP","01","Región de Tarapacá","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UA","Universidad de Antofagasta","UA","02","Región de Antofagasta","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UDA","Universidad de Atacama","UDA","03","Región de Atacama","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-ULS","Universidad de La Serena","ULS","04","Región de Coquimbo","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UV","Universidad de Valparaíso","UV","05","Región de Valparaíso","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UPLA","Universidad de Playa Ancha de Ciencias de la Educación","UPLA","05","Región de Valparaíso","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UMCE","Universidad Metropolitana de Ciencias de la Educación","UMCE","13","Región Metropolitana de Santiago","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-USACH","Universidad de Santiago de Chile","USACH","13","Región Metropolitana de Santiago","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UCH","Universidad de Chile","UCH","13","Región Metropolitana de Santiago","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UTEM","Universidad Tecnológica Metropolitana","UTEM","13","Región Metropolitana de Santiago","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UOH","Universidad de O’Higgins","UOH","06","Región del Libertador General Bernardo O'Higgins","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UTALCA","Universidad de Talca","UTALCA","07","Región del Maule","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UBB","Universidad del Bío-Bío","UBB","08","Región del Biobío","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UFRO","Universidad de La Frontera","UFRO","09","Región de La Araucanía","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-ULAGOS","Universidad de Los Lagos","ULAGOS","10","Región de Los Lagos","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UAYSEN","Universidad de Aysén","UAYSEN","11","Región de Aysén del General Carlos Ibáñez del Campo","https://www.uestatales.cl/","2026-09-19"
"CL-UNI-UMAG","Universidad de Magallanes","UMAG","12","Región de Magallanes y de la Antártica Chilena","https://www.uestatales.cl/","2026-09-19"
