"source_id","publisher","title","url","use_in_dataset","last_checked"
"SRC-GOB","Gobierno de Chile","Instituciones","https://www.gob.cl/instituciones/","25 ministerios; directorio de 162 servicios públicos; regiones","2026-09-19"
"SRC-GOB-MIN","Gobierno de Chile","Páginas institucionales de ministerios","https://www.gob.cl/ministerios/","estructura ministerial y subsecretarías","2026-09-19"
"SRC-SUBDERE","SUBDERE","Sistema Nacional de Información Municipal / división político-administrativa","https://datos.sinim.gov.cl/","universo municipal y control territorial","2026-09-19"
"SRC-INTERIOR","Ministerio del Interior","Servicio de Gobierno Interior","https://www.interior.gob.cl/","16 DPR y 40 DPP","2026-09-19"
"SRC-BCN","Biblioteca del Congreso Nacional","Ley Orgánica Constitucional de Bases Generales de la Administración del Estado y normativa orgánica","https://www.bcn.cl/leychile/","marco institucional y órganos superiores","2026-09-19"
"SRC-ANCI","Agencia Nacional de Ciberseguridad","Sitio institucional","https://anci.gob.cl/","suplemento institucional 2026","2026-09-19"
"SRC-SERMIG","Servicio Nacional de Migraciones","Sitio institucional","https://serviciomigraciones.cl/","suplemento institucional 2026","2026-09-19"
"SRC-SBAP","Servicio de Biodiversidad y Áreas Protegidas","Sitio institucional","https://sbap.gob.cl/","suplemento institucional 2026","2026-09-19"
"SRC-CMF","Comisión para el Mercado Financiero","Sitio institucional","https://www.cmfchile.cl/","suplemento institucional y control de nomenclatura financiera","2026-09-19"
"SRC-SENADO","Senado de Chile","Sitio institucional","https://www.senado.cl/","órgano legislativo","2026-09-19"
"SRC-CAMARA","Cámara de Diputadas y Diputados","Sitio institucional","https://www.camara.cl/","órgano legislativo","2026-09-19"
"SRC-PJUD","Poder Judicial de Chile","Sitio institucional","https://www.pjud.cl/","órganos superiores judiciales","2026-09-19"
